symbol,sector
TVSMOTOR,Auto
ASHOKLEY,Auto
MOTHERSON,Auto
BALKRISIND,Auto
MRF,Auto
APOLLOTYRE,Auto
CEATLTD,Auto
BOSCHLTD,Auto
EXIDEIND,Auto
TATASTEEL,Metals
JSWSTEEL,Metals
HINDALCO,Metals
VEDL,Metals
JINDALSTEL,Metals
SAIL,Metals
NMDC,Metals
HINDZINC,Metals
NATIONALUM,Metals
JSL,Metals
JSWENERGY,Metals
COALINDIA,Metals
GMDCLTD,Metals
LT,Infrastructure
ADANIPORTS,Infrastructure
GMRAIRPORT,Infrastructure
IRB,Infrastructure
NCC,Infrastructure
NBCC,Infrastructure
RVNL,Infrastructure
IRCON,Infrastructure
RITES,Infrastructure
KNRCON,Infrastructure
PNCINFRA,Infrastructure
CONCOR,Infrastructure
UNITDSPR,Infrastructure
ULTRACEMCO,Cement
SHREECEM,Cement
AMBUJACEM,Cement
GRASIM,Cement
DLF,Realty
GODREJPROP,Realty
OBEROIRLTY,Realty
PRESTIGE,Realty
BRIGADE,Realty
LODHA,Realty
PHOENIXLTD,Realty
BHARTIARTL,Telecom
IDEA,Telecom
INDUSTOWER,Telecom
ASIANPAINT,Chemicals
BERGEPAINT,Chemicals
PIDILITIND,Chemicals
SRF,Chemicals
UPL,Chemicals
PIIND,Chemicals
DEEPAKNTR,Chemicals
AARTIIND,Chemicals
NAVINFLUOR,Chemicals
GNFC,Chemicals
CHAMBLFERT,Chemicals
SOLARINDS,Chemicals
GUJGASLTD,Chemicals
GSPL,Chemicals
IGL,Chemicals
MGL,Chemicals
TITAN,ConsumerDurables
HAVELLS,ConsumerDurables
VOLTAS,ConsumerDurables
CROMPTON,ConsumerDurables
BLUESTARCO,ConsumerDurables
DIXON,ConsumerDurables
POLYCAB,ConsumerDurables
KEI,ConsumerDurables
ASTRAL,ConsumerDurables
SUPREMEIND,ConsumerDurables
WHIRLPOOL,ConsumerDurables
TIMKEN,Industrials
SIEMENS,Industrials
ABB,Industrials
THERMAX,Industrials
CUMMINSIND,Industrials
BHARATFORG,Industrials
BHEL,Industrials
BEML,Industrials
HAL,Industrials
MAZDOCK,Industrials
COCHINSHIP,Industrials
GRSE,Industrials
BEL,Industrials
TITAGARH,Industrials
SUZLON,Industrials
GVT&D,Industrials
CGPOWER,Industrials
INDIAMART,Media/Internet
ZOMATO,Media/Internet
NYKAA,Media/Internet
PAYTM,Media/Internet
POLICYBZR,Media/Internet
IRCTC,Media/Internet
NAUKRI,Media/Internet
SUNTV,Media/Internet
ZEEL,Media/Internet
PVRINOX,Media/Internet
SAREGAMA,Media/Internet
NETWORK18,Media/Internet
CDSL,Financial Services
BSE,Financial Services
MOTILALOFS,Financial Services
ANGELONE,Financial Services
CGCL,Financial Services
J&KBANK,Banking
KIRLOSENG,Industrials
ZENSARTECH,IT
ELECON,Industrials
ANANTRAJ,Realty
ARE&M,Metals
GPIL,Metals
TATACAP,NBFC/Finance
KALYANKJIL,ConsumerDurables
TMPV,Auto
ABFRL,Consumer
AADHARHFC,NBFC/Finance
AAVAS,NBFC/Finance
ABDL,Consumer
ABLBL,Pharma
ABSLAMC,Financial Services
ACMESOLAR,Power
ACUTAAS,Chemicals
360ONE,Financial Services
APLAPOLLO,Metals
GODFRYPHLP,Consumer
INDIANHOTL,Consumer
TATAINVEST,NBFC/Finance
KALYANJIL,ConsumerDurables
TATATECH,IT
AIIL,Chemicals
SAPPHIRE,Consumer
EMCURE,Pharma
ASTERDM,Pharma
HUDCO,NBFC/Finance
